,Bottle Name,Type,Winery,Designation,Region,Province,Country,Price,Rating,Sommelier,Sommelier Twitter Handle,Description,City Country,Longitude,Latitude
0,Achaia Clauss 2015 Demestica Semi Dry Rosé (Achaia),Rosé,Achaia Clauss,Demestica Semi Dry,,Achaia,Greece,13.0,90.0,Susan Kostrzewa,@suskostrzewa,"This light-bodied wine offers a fruity nose of cherry and raspberry and fresh flavors of strawberry, cherry and a touch of herbs. Balanced but with assertive style, the wine is perfect for spicy cuisine or burgers.","Achaia, Greece",21.5640808,38.1051237
1,A. Parparoussis 2008 Les Dons de Dionysos Barrel Fermented Assyrtiko-Athiri White (Achaia),White Blend,A. Parparoussis,Les Dons de Dionysos Barrel Fermented Assyrtiko-Athiri,,Achaia,Greece,25.0,86.0,Susan Kostrzewa,@suskostrzewa,"A nose of fresh-cut flowers, tropical fruit and melon leads this barrel-fermented white blend . On the palate, the wine has a lovely floral character but lacks some of the minerality that gives Greek whites their lively touch. Pair with fish or cheeses.","Achaia, Greece",21.5640808,38.1051237
2,Tetramythos 2008 Black of Kalavryta Mavrokalavryta (Achaia),Mavrokalavryta,Tetramythos,Black of Kalavryta,,Achaia,Greece,15.0,86.0,Susan Kostrzewa,@suskostrzewa,"Coffee, cocoa and red cherry lead on the nose of this solid red. On the palate, dark chocolate, black pepper and red berries are approachable and smooth. Overall, the wine is a great everyday red with food pairing qualities. Think burgers, ribs or lamb.","Achaia, Greece",21.5640808,38.1051237
3,Errazuriz 2015 Max Reserva Carmenère (Aconcagua Costa),Carmenère,Errazuriz,Max Reserva,,Aconcagua Costa,Chile,20.0,90.0,Michael Schachner,@wineschach,"A dark, saturated color is telling, because this is full and smoky on the nose, with aromas of beef jerky, oak and green herbs. Much like it looks, this Carmenère feels full and saturated. Herbal berry and black plum flavors are peppery and lightly green, while notes of tobacco, coffee and carob comprise the finish.","Aconcagua Costa, Chile",-71.846483,-33.923303
4,Errazuriz 2015 Sauvignon Blanc (Aconcagua Costa),Sauvignon Blanc,Errazuriz,,,Aconcagua Costa,Chile,22.0,90.0,Michael Schachner,@wineschach,"Oceanic aromas of grass, scallion, baby garlic and lime reflect cool-coast origins. A slick, juicy mouthfeel is minerally, while this offers flavors of nettle, lime, passion fruit and green onion. A long, stony finish leans towards green flavors.","Aconcagua Costa, Chile",-71.846483,-33.923303
5,Errazuriz 2015 Syrah (Aconcagua Costa),Syrah,Errazuriz,,,Aconcagua Costa,Chile,25.0,90.0,Michael Schachner,@wineschach,"High-toned energy is the persistent theme of this coastal Syrah. The nose is jumpy and wild, with leather, coffee and tarry notes along with foxy berry fruit. A juicy, crisp palate is high in acid, ringing with peppery currant and plum flavors. Toasty, spicy oak leads a ripped, bold finish. Drink through 2023.","Aconcagua Costa, Chile",-71.846483,-33.923303
6,Errazuriz 2011 La Cumbre Syrah (Aconcagua Valley),Syrah,Errazuriz,La Cumbre,,Aconcagua Valley,Chile,125.0,93.0,Michael Schachner,@wineschach,"Cool, earthy, foresty aromas dance with sweet berry and spice scents to form a superb nose. This offers an exemplary mix of weight and acidity, while lively berry flavors are meaty, complex and show mild herbal notes, peppery spice and juicy length on the finish. Definitely one of Chile's best Syrahs. Drink through 2019.","Aconcagua Valley, Chile",-70.607736,-33.531171
7,Seña 2006 Red (Aconcagua Valley),Bordeaux-style Red Blend,Seña,,,Aconcagua Valley,Chile,78.0,93.0,Michael Schachner,@wineschach,"Ripe, smooth and pure, with aromas of asphalt, tobacco and cedar-lined cigar box along with dry, elevated fruit. The palate is balanced to a tee, with floral, fresh flavors of berry, cola, herbs and tobacco. Seña has been on a roll lately, and this vintage is entirely inviting, balanced and savory. Drinkable now, but best from 2010 to 2013.","Aconcagua Valley, Chile",-70.607736,-33.531171
8,Errazuriz 2011 Don Maximiano Founder's Reserva Red (Aconcagua Valley),Red Blend,Errazuriz,Don Maximiano Founder's Reserva,,Aconcagua Valley,Chile,90.0,93.0,Michael Schachner,@wineschach,"Smooth, deep aromas of berry, spice, earth and minerals are rolled into a pure, harmonious whole. This Cabernet Sauvignon-led blend is racy, clean and layered on the tongue, while oaky flavors of vanilla and cream are backed by ribald blackberry and cassis. The elegant finish is potent and deep. Drink through 2020.","Aconcagua Valley, Chile",-70.607736,-33.531171
9,Kavaklidere 2010 Pendore Syrah (Aegean),Syrah,Kavaklidere,Pendore,,Aegean,Turkey,38.0,92.0,Mike DeSimone,@worldwineguys,"Aromas of black cherry, brambly berry, violet and oregano give way to sophisticated flavors of dark fruit, spice and leather. This nicely balanced Syrah offers harmonious tannins, with just a touch of grippiness, leading to a smooth, somewhat savory finish.","Aegean, Turkey",28.25983,36.84806
